"","category","name","price","ratings","no_of_reviews"
"1","GamingAccessories","KOORUI 24-Inch Curved Computer Monitor- Full HD 1080P 60Hz Gaming Monitor 1800R LED Monitor HDMI VGA, Tilt Adjustment, Eye Care, Black 24N5C","89.","4.2 out of 5 stars","481"
"2","GamingAccessories","AOC 24B2XH - 24 Inch FHD Monitor,75Hz, IPS, 7ms, lowBlue Mode, Framnless Design, Vesa 100 x 100 (1920 x 1080 @ 75Hz, HDMI/VGA)","74.","4.2 out of 5 stars","1,434"
"3","GamingAccessories","LG Electronics UltraGear Gaming Monitor 24GQ50F-B - 23.8 inch, VA Panel, 165Hz, 1ms MBR, 1920 x 1080 px, AMD FreeSync Premium, Gaming UI","109.",NA,"227"
"4","GamingAccessories","Dell SE2422HX 24 Inch Full HD (1920x1080) Monitor, 75Hz, VA, 5ms, AMD FreeSync, HDMI, VGA, 3 Year Warranty, Black","94.",NA,"1,691"
"5","GamingAccessories","KOORUI 24 Inch Computer Monitor -FHD 1080P Gaming Monitor 165Hz VA 1ms 1800R LED Monitors with Ultra-Thin, HDMI X2 /DP, VESA Compatible, Tilt Adjustable, Eye Care","119.",NA,"2,039"
"6","GamingAccessories","Acer EK241YHbif 24-inch Monitor - VA Panel, 1920 x 1080, 5ms, 100Hz, FreeSync, HDMI, VGA","89.",NA,"2"
"7","GamingAccessories","KOORUI 22 Inch Computer Gaming Monitor, FHD 1080P Desktop Display with 2 Speakers, 100HZ Ultra Thin Bezel/Eye Care/Ergonomic Tilt, HDMI VGA Ports LED Monitor for PC, VESA Mounting","72.",NA,"481"
"8","GamingAccessories","KOORUI Monitor Gaming, 24 Inch Computer Screen HDMI, 165Hz, 1080p, 1ms, IPS, FreeSync, Compatible G-sync, Tilt Adjustable, Eye Care, VESA Wall Mountable (FHD 1920x1080, DisplayPort) Black","134.",NA,"7,248"
"9","GamingAccessories","PHILIPS 241V8LA- 24 Inch FHD Monitor, 75Hz, 4ms, VA, Speakers LowBlue, Flickerfree (1920 x 1080, 250 cd/m², HDMI/VGA)","88.",NA,"1,100"
"10","GamingAccessories","Antteq 24 Inch FHD Monitor, Ultra-slim Bezels 1080P 75Hz VA Computer Monitor, 178° Viewing Angle 16.7M Colors with HDMI VGA Free Flicker Blue Light Filter, LED Full HD Monitor for PC Office, Black","74.",NA,"281"
"11","GamingAccessories","KOORUI 22 Inch Business Computer Monitor, FHD 1080p 75hz Desktop Monitor, Ultra Thin Eye Care Bezel HDMI VGA Ports LED Monitor for PC, Black","79.",NA,"2,039"
"12","GamingAccessories","KOORUI 24 Inch Computer Monitor - FHD 1080P Gaming Monitor 165Hz VA 1ms, AdaptiveSync Technology, Ultra-Thin LED Monitor,HDMI X2 / DP, VESA Compatible, Tilt Adjustable, Eye Care - 24E4","129.",NA,"1,473"
"13","GamingAccessories","KOORUI 24 Inch Monitor, Build-in Speakers, IPS PC Monitor FHD 1080p, HDMI 1.4 (100Hz) & VGA(60Hz), FreeSync & G-Sync, VESA 75 x 75 mm, Eye Care, Tilt Adjustment","89.",NA,"7,248"
"14","GamingAccessories","BenQ GW2480 60.5 cm (23.8 inch) LED Monitor (Full HD, Eye-Care, IPS Panel Technology, HDMI, DP, Speaker) Black","89.",NA,"14,422"
"15","GamingAccessories","AOC 24B3HM - 23.8 Inch FHD Monitor, 75Hz, VA, 4ms, FreeSync, Low Blue light, Flicker Free, Frameless design (1920 x 1080 @ 75Hz, 250 cd/m, HDMI , VGA)","87.",NA,"1,434"
"16","GamingAccessories","HP 24 Inch FHD Monitor, M24f, Full HD IPS LED Display, Ultraslim, Tilt Adjustable, 75hz Refresh Rate, 5ms Response Time, 1x HDMI, 1 x VGA, Low Blue Light Mode, Anti-glare, Silver and Black","109.",NA,"1,237"
"17","GamingAccessories","Dell S2421NX 24 Inch Full HD (1920x1080) Monitor, 75Hz, IPS, 4ms, AMD FreeSync, Ultrathin Bezel, 2x HDMI, 3 Year Warranty, Black","148.",NA,"376"
"18","GamingAccessories","MSI G2422C 23.6 Inch FHD Curved Gaming Monitor - 1500R 1920 x 1080 VA Panel, 180Hz / 1ms, Adaptive Sync - DP 1.2a, HDMI 2.0b CEC","125.",NA,"2,458"
"19","GamingAccessories","iiyama G-Master G2470HSU-B1 24 Inch Fast (FLC) IPS LCD, 165 Hz, 0.8 ms, FreeSync Premium, Full HD 1920 x 1080, 1 x HDMI, 1 x DisplayPort, 2 x USB, 2 x 2 W Speakers","99.",NA,"9,474"
"20","GamingAccessories","Philips 241E1SC - 24 Inch FHD Curved Monitor, 75Hz, VA, 4ms, AMD FreeSync, SmartImage, LowBlue Mode (1920 x 1080, 250 cd/m², HDMI/VGA)","139.",NA,"839"
"21","GamingAccessories","Samsung F24T450FQR - T45F Series - LED monitor - 24"" - 1920 x 1080 Full HD (1080p) @ 75 Hz - IPS - 250 cd/m² - 1000:1-5 ms - 2xHDMI, DisplayPort - black","169.",NA,"415"
"22","GamingAccessories","CRUA Monitor Gaming Monitor, 24.5 Inch 180Hz Curved Computer Monitor, Full HD 1080P Frameless Desktop Monitor, 1ms GTG with FreeSync, Low Motion Blur, Eye Care, VESA, DisplayPort, HDMI, Black","129.",NA,"1,758"
"23","GamingAccessories","Z-Edge 25 Inch (24.5 Inch) Gaming Monitor 240Hz 1ms MPRT Full HD VA Panel 350cd/m² Brightness, Ultra-Thin Bezel, FreeSync, HDMI 2.0 & DisplayPort 1.4, VESA Mountable, Built-in Speakers, Black",NA,NA,"738"
"24","GamingAccessories","KOORUI Gaming Monitor, 24.5 Inch Computer Monitors Full HD (1920 x 1080), 1ms, VA, 2x HDMI (144Hz) & DisplayPort (170Hz), Adpitive Sync, sRGB 99%, VESA, Tilt Adjustable, Eye Care",NA,NA,"5,070"
