"","category","name","price","ratings","no_of_reviews"
"1","GamingAccessories2","Check each product page for other buying options.","23.",NA,"29,038"
"2","GamingAccessories2","Logitech G G502 HERO High Performance Wired Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC/Mac - Black","25.",NA,"9,705"
"3","GamingAccessories2","Razer DeathAdder Essential Gaming Mouse: 6400 DPI Optical Sensor - 5 Programmable Buttons - Mechanical Switches - Rubber Side Grips - Classic Black","11.",NA,"12,769"
"4","GamingAccessories2","Logitech G203 LIGHTSYNC Gaming Mouse with Customizable RGB Lighting, 6 Programmable Buttons, Gaming Grade Sensor, 8K DPI Tracking, Lightweight - Black","22.",NA,"6,241"
"5","GamingAccessories2","VGUARD Gaming Mouse, Comfortable Wired USB Optical RGB Ergonomic Mice for PC Computer Laptop, 6 Programmable Buttons, 4 Adjustable Sensitivity, 7 Colors LED Backlight - Black(Upgraded Version)","24.",NA,"26,325"
"6","GamingAccessories2","Razer DeathAdder Essential (2021) - Wired Gaming Mouse (Optical Sensor, 6400 DPI, 5 Programmable Buttons, Ergonomic Form Factor) Black","12.",NA,"16,987"
"7","GamingAccessories2","SteelSeries Rival 3 - Gaming Mouse - 8,500 CPI TrueMove Core Optical Sensor - 6 Programmable Buttons - Split Trigger Buttons - Black","31.",NA,"57"
"8","GamingAccessories2","JYCSTE Wired gaming mouse, RGB backlighting and 7200 adjustable DPI, ergonomic and lightweight USB computer mouse with high-precision sensor for Windows PC & laptop gamers (White)","47.",NA,"18,193"
"9","GamingAccessories2","Razer DeathAdder Essential Gaming Mouse: 6400 DPI Optical Sensor - 5 Programmable Buttons - Mechanical Switches - Rubber Side Grips - Mercury White","54.",NA,"29,064"
"10","GamingAccessories2","Logitech G502 HERO Special Edition High-Performance Wired Gaming Mouse, 25K HERO Sensor, 25600 DPI, RGB, Adjustable Weight, 11 Programmable Buttons, PC/Mac - Black and White","59.",NA,"15,839"
