"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"1","hsertt weight cable pulley system gym","muy completo","renato t","great home set up i use in my garage and pack everything up when done perfect",2023-10-25,4,"verified purchase"
"2","hsertt weight cable pulley system gym","works perfect","amazon customer","works well missing the product manual but figured it out eventually",2023-11-02,5,"verified purchase"
"3","hsertt weight cable pulley system gym","brilliant","kindle customer","husband is loving these and turns his rack into cable system easy",2023-06-01,5,"verified purchase"
"4","hsertt weight cable pulley system gym","ottima fattura sodisfatto","glenn cogan","all this gear works perfectly very happy with the quality",2023-04-07,5,"verified purchase"
"5","hsertt weight cable pulley system gym","sehr schn","mohammad","i bought a set earlier from amazon us and was really happy with the quality to extend the set i bought this one this one didnt came in its original packaging no dockets all components look and feel different to the one i already had check the photos the original one i already had have brand tags looks and feels much better quality how do i know this is original given it was repackaged feels dodgy this is not a feedback for amazon or delivery amazon was great dealing with it",2024-02-19,5,"verified purchase"
"6","hsertt weight cable pulley system gym",NA,"mohammad","para el precio que tiene su calidad es bastante alta llevo casi  meses usandolos y le han dado una vuelta a mi entrenamiento en casa",2024-02-12,1,"verified purchase"
"7","hsertt weight cable pulley system gym",NA,"jose antonio flores marquez","the media could not be loaded                                                                                    may take some figuring out which way to hook up the length but does exams described for me my beam was higher than an average beam so i used two of the methods described in the instructions to make it work but its great quality  sturdy and works well",2023-12-08,1,"verified purchase"
"8","hsertt weight cable pulley system gym",NA,"thomas l","this system is awesome  the pulleys are smoother than any cable machines at my gym  the handles rope and bar are the same quality as my gym if not better  at first i was attaching the pulleys to my pullup bar but then i picked up some lag type eye bolts and strategically placed them in some studs in the wall and ceiling of my garage and now i have so many configurations i can do almost any workout my gym offers but from homei didnt own any plates at first but i purchased an ankle strap with a plan in mind i have a set of adjustable dumbbells so i was hoisting one of them up and down for a couple days until my plates arrivedi recommend the cap rubber bumper plates i purchased  pounds in various weights for  and im getting moreim about to purchase the sertt lat bar and a vbar to round out this system maybe even a couple more pulleys so i can leave them all in placeyou have to be creative but you can set these pulleys up in so many different ways  if you own this system a set of adjustable dumbbells and a bench you can do a complete workout from home  very happy with the quality and value of this purchase and if you are considering buying something like this i highly recommend it",2024-01-31,5,"verified purchase"
"9","hsertt weight cable pulley system gym",NA,"thomas l","ero un po titubante sulla corretta esecuzione degli esercizi ma devo dire che il risultato  simile a quello che si ha in palestra si ha un po leffetto pendolo sul pacco pesi ma nulla di fastidioso per chi ha il rack  della decathlon va benone lo consiglio per chi vuole variare gli esercizi classici con manubri e bilanciere",2023-12-19,5,"verified purchase"
"10","hsertt weight cable pulley system gym",NA,"roger b","a ware gerne wieder",2024-02-04,5,"verified purchase"
"11","hsertt weight cable pulley system gym","highly recommend","amazon customer","not enough room for a true home gym but i really missed cable exercises  this is well worth the money  the bag it really nice to pack it up ive just been using my chin up bar to attach it to",2024-01-06,4,"verified purchase"
"12","hsertt weight cable pulley system gym","parfait","kevin geffroy","achet pour ajouter quelques exercices  un rack muralil fait trs bien laffaire jai seulement des doutes sur la base sur laquelle on met les poids dans la durepour linstant aprs  mois et une utilisation quasi quotidienne a tient le coup",2023-05-23,5,"verified purchase"
"13","hsertt weight cable pulley system gym","trs bien","lilibouteille","trs bienil faudrait rajouter une troisime poulie dans le kit mais si non cest gnialdes fois la corde peut se coincer dans la poulie si on ne fait pas attentionles poignes sont vraiment pas terrible la barre droite ne tourne mme pas sur elle mme comme en salleun des seuls kit avec lequel on peut faire du visvisles poulies sont trs fluides et de bonne qualit",2023-02-05,5,"verified purchase"
"14","hsertt weight cable pulley system gym","strength redefined  weight cable pulley system elevates home workouts","paul","the weight cable pulley system for my home gym has been a total gamechanger its versatility and smooth operation have brought a new dimension to my strength training routine the sturdy construction and easy setup make it a standout choice for anyone looking to elevate their home workouts transform your fitness journey with this weight cable pulley system  its a powerhouse for targeted exercises and gains",2024-01-06,5,"verified purchase"
"15","hsertt weight cable pulley system gym","super abrollgefhl","nico f","ich trainiere gerade das erste mal mit dem equipment und ich finde die qualitt super die ketten wiegen g und machen ebenfalls einen robusten eindruck",2024-01-16,5,"verified purchase"
"16","hsertt weight cable pulley system gym","very well made","nico f","very well made and offers a lot of utility this could easily allow for a full workout for minimal cost",2023-10-31,5,"verified purchase"
"17","hsertt weight cable pulley system gym","calidad","gillian","llego en tiempo se ven muy resistentes muy buena calidad como las del gimnasio",2023-11-16,5,"verified purchase"
"18","hsertt weight cable pulley system gym","perfetti","cliente amazon","ottima qualit si riescono a fare moltissimi esercizi con poco pi di ",2023-05-30,5,"verified purchase"
"19","hsertt weight cable pulley system gym","great product amazing value","cliente amazon","after doing quite a bit of research i settled on this product to upgrade my home gym without breaking the bank ive used all of the attachments and different pulley setups and couldnt be happier everything is well made and the price cant be beat for two pulleys ive seen similar systems for double the cost and cant imagine them operating any differently ive separately purchased some ankle cuffs for leg workouts and extra carabiners to make things a breeze when changing configurationsattachments",2023-08-21,5,"verified purchase"
"20","hsertt weight cable pulley system gym","ottimo","ryan nichols","ottimo sistema di cavi se avete la struttura giusta potete farci davvero di tutto il cavo sembra abbia davvero una una qualit  da  mesi che lo uso e continua a tenere bene e non usurarsi facilmente consiglio per chi ha o si vuole fare una piccola home gym",2023-07-16,5,"verified purchase"
"21","hsertt weight cable pulley system gym","bin sehr zufrieden","jan sky","das sertt gewicht seilzugsystem gym ist ein groartiges fitnessgert fr alle die zu hause trainieren mchten ich habe es auch ausprobiert und muss sagen dass ich von der qualitt und vielseitigkeit des systems beeindruckt binobwohl ich nicht alle teile des systems benutze die mitgeliefert wurden sind die teile die ich benutze von hchster qualitt und erfllen meine bedrfnisse perfekt das seilzugsystem ermglicht es mir verschiedene muskelgruppen zu trainieren und zu strken indem ich eine vielzahl von bungen ausfhre das system ist einfach zu installieren und zu bedienen was es zu einer groartigen option fr menschen macht die neu im bereich der fitness sind oder einfach zu hause trainieren mchtenein weiterer vorteil des sertt gewicht seilzugsystems ist seine robustheit und haltbarkeit das system ist gut gebaut und die materialien sind von hoher qualitt was mir das vertrauen gibt dass es lange halten wirdinsgesamt bin ich sehr zufrieden mit dem sertt gewicht seilzugsystem gym es ist ein groartiges fitnessgert fr zu hause und ich wrde es jedem empfehlen der nach einer einfachen erschwinglichen und vielseitigen mglichkeit sucht um in seinem eigenen zuhause zu trainieren obwohl ich nicht alle teile des systems verwende die mitgeliefert wurden kann ich sagen dass die teile die ich verwende absolut top sind und meine bedrfnisse perfekt erfllen",2023-04-19,4,"verified purchase"
"22","hsertt weight cable pulley system gym","suficiente","cliente amazon","tuve que comprar poleas a parte para ponerlas directamente en el techo las q trae son ganchos en las q el cable se enreda fcilmentecumple con su funcin",2023-06-01,4,"verified purchase"
"23","hsertt weight cable pulley system gym","drcent","zuda","worth the money",2022-08-31,4,"verified purchase"
"24","hsertt weight cable pulley system gym","trs bonnes poulies","philippe baconnet","je dois dire que je suis agrablement surpris pat la facilit de montage des poulies qui semble solidesles diffrentes possibilits dinstallations sont vraiment pratique pour travailler diffrents groupesmusculaires et pouvoir sentrainer correctement  la maisonje recommande ce produit",2023-02-21,4,"verified purchase"
"25","hsertt weight cable pulley system gym","davvero tanta roba","gabriele castello","ottimo sistema di pulegge tutto il materiale  robusto e fatto benedavvero funzionale per una home gymha tutte le impugnature per gli esercizi tranne la sbarra lat machineregge carichi anche elevati senza la preoccupazione che si rompa",2024-02-14,4,"verified purchase"
"26","hsertt weight cable pulley system gym","top","wilfried lienard","excellent article grce au  poulie je peux travailler soit en poulie haute ou basse sur ma chaise romainepossible aussi de faire du leg curl et kick back si vous avez les accroches de jambes",2022-12-29,5,"verified purchase"
"27","hsertt weight cable pulley system gym","great bit of kit","remote control giant","i love this set really good quality components that feel like theyll last i use it connected in various ways to my powertower  pull up station and the possible combinations of connections for different exercises is really impressive for about  ive been able to add another    different weighted exercises to my home gym set up im considering adding some wall and ceiling anchors to really optimise how i can use it now",2023-10-25,5,"verified purchase"
"28","hsertt weight cable pulley system gym","good quality products","garnet maclean","the system is well designed and easy to use",2023-08-31,5,"verified purchase"
"29","hsertt weight cable pulley system gym","super system ","tim bretschneider","habe eine klimmzugstange zuhause und so wird sie zum multifunktionsturm  so einfach u doch so effektiv",2023-10-24,5,"verified purchase"
"30","hsertt weight cable pulley system gym","producto impecable","francisco javier torres rodrguez","lleg todo muy bien empaquetado en una buena caja y con todos los accesorios metidos en sus respectivas bolsitas muy bien protegidos la calidad de las distintas partes es muy buena las poleas son muy silenciosas y se ven resistentes los mosquetones son bastante robustos no como los de productos similares ms pequeos y endebles los dems accesorios se ven estupendos tambin la bolsa de tela que trae est muy bien tambin muy contento con el producto en definitiva no esperaba tanto la verdad gracias",2023-01-21,5,"verified purchase"
"31","hsertt weight cable pulley system gym","perfekt","sandra k","so soll es sein super",2023-10-15,4,"verified purchase"
"32","hsertt weight cable pulley system gym","wish i ordered this years ago","ken","i wish i had ordered this for my home gym years ago the overall quality of this is fantastic i was really surprised doesnt feel cheap at all and set up is super easy i simply hook it up to my pull up bar in the door frame takes about  seconds pile the weights on and go im using standard plates and the loading pin measures about  tall plenty of room to stack a decent amount of weight onfor the last several years ive been using barbells and dumbbells basic stuff but wow its so nice to have access to such a wide range of new exercises nowthe only exercises that dont quite feel right are the cable flyes when the pulleys are attached to a pull up bar and bicep curlswith cable flyes in a gym the pulleys are directly at your sides which creates a constant tension on your chest muscles no matter where your arms are in the range of motion when this set up is attached to your pull up bar at home you have to step forward which moves the pulleys are behind you so once your arms are pointed straight out in front of you the tension is taken off your chest muscles and placed directly onto your shoulders and triceps so at best you get the same stimulation youd get from a dumbbell chest fly with the same limitations of that movementfor bicep curls it just doesnt feel right when the loading pin is attached to the pulley and allowed to glide freely on the cable like they show in the pictures so an easy fix for this is to simply not use the cables load up the loading pin with your weights attach the rope or straight bar to it and do your curls that way no cable needed you get a lot more tension on your biceps that way than if you try to let the pulley glide freely on the cableotherwise all of the tricep shoulder back and ab movements feel fantastic with this set up sertt offers two different options for this set one is a little cheaper and comes with fewer attachments and cables i highly encourage you to spend the extra  on this one for the extra cables attachments and pulley im constantly discovering new exercises to do and i wouldnt be able to do them without the extra equipment that comes with this  optionhighly highly recommend this",2021-12-03,5,"verified purchase"
"33","hsertt weight cable pulley system gym","perfetto","marco ","set completo per fare molti esercizi  acquisto azzeccato ",2023-05-27,5,"verified purchase"
"34","hsertt weight cable pulley system gym","cantidad de ejercicios","marco ","cantidad de ejercicios que puedo hacer ahora con esto",2022-12-21,5,"verified purchase"
"35","hsertt weight cable pulley system gym","pas mal mais pas trs stable","juan luis","il est pas mal mais manque de stabilit lorsque que on lev le plateau de disque de poids si on va a vitesse normale a explosif le plateau se balance car il manque un point dancrage au sol pour vit ce balancement dangereuxil manque au minimum deux autres poulie deux a  attaches supplmentaires pour bien stabiliser et faire les exercices avec deux poignets diffrentla longueur des cbles et limite il faudrait aussi le fixe sur une cage a traction qui tient la stabilit sinon tout se renverse intressant comme base les poignet leur grip et faible pour la prise en main matriel de base a amlior ou pour du dpannage ",2023-08-12,5,"verified purchase"
