"","title","author","subject","abstract","date"
"1","12 mj per class on-device online few-shot class-incremental learning","yoga esa wibowo, cristian cioflan, thorir mar ingolfsson, michael hersche, leo zhao, abbas rahimi, luca benini","machine learning","few-shot class-incremental learning (fscil) enables machine learning systems to expand their inference capabilities to new classes using only a few labeled examples, without forgetting the previously learned classes. classical backpropagation-based learning and its variants are often unsuitable for battery-powered, memory-constrained systems at the extreme edge. in this work, we introduce online few-shot class-incremental learning (o-fscil), based on a lightweight model consisting of a pretrained and metalearned feature extractor and an expandable explicit memory storing the class prototypes. the architecture is pretrained with a novel feature orthogonality regularization and metalearned with a multi-margin loss. for learning a new class, our approach extends the explicit memory with novel class prototypes, while the remaining architecture is kept frozen. this allows learning previously unseen classes based on only a few examples with one single pass (hence online). o-fscil obtains an average accuracy of 68.62% on the fscil cifar100 benchmark, achieving state-of-the-art results. tailored for ultra-low-power platforms, we implement o-fscil on the 60 mw gap9 microcontroller, demonstrating online learning capabilities within just 12 mj per new class.",2024-03-12
"2","learning-augmented algorithms with explicit predictors","marek elias, haim kaplan, yishay mansour, shay moran","machine learning","recent advances in algorithmic design show how to utilize predictions obtained by machine learning models from past and present data. these approaches have demonstrated an enhancement in performance when the predictions are accurate, while also ensuring robustness by providing worst-case guarantees when predictions fail. in this paper we focus on online problems; prior research in this context was focused on a paradigm where the predictor is pre-trained on past data and then used as a black box (to get the predictions it was trained for). in contrast, in this work, we unpack the predictor and integrate the learning problem it gives rise for within the algorithmic challenge. in particular we allow the predictor to learn as it receives larger parts of the input, with the ultimate goal of designing online learning algorithms specifically tailored for the algorithmic task at hand. adopting this perspective, we focus on a number of fundamental problems, including caching and scheduling, which have been well-studied in the black-box setting. for each of the problems we consider, we introduce new algorithms that take advantage of explicit learning algorithms which we carefully design towards optimizing the overall performance. we demonstrate the potential of our approach by deriving performance bounds which improve over those established in previous work.",2024-03-12
"3","new perspectives in online contract design: heterogeneous, homogeneous, non-myopic agents and team production","shiliang zuo","computer science and game theory","this work studies the repeated principal-agent problem from an online learning perspective. the principal's goal is to learn the optimal contract that maximizes her utility through repeated interactions, without prior knowledge of the agent's type (i.e., the agent's cost and production functions).
i study three different settings when the principal contracts with a $\textit{single}$ agent each round: 1. the agents are heterogeneous; 2. the agents are homogenous; 3. the principal interacts with the same agent and the agent is non-myopic. i present different approaches and techniques for designing learning algorithms in each setting. for heterogeneous agent types, i identify a condition that allows the problem to be reduced to lipschitz bandits directly. for identical agents, i give a polynomial sample complexity scheme to learn the optimal contract based on inverse game theory. for strategic non-myopic agents, i design a low strategic-regret mechanism. also, i identify a connection between linear contracts and posted-price auctions, showing the two can be reduced to one another, and give a regret lower bound on learning the optimal linear contract based on this observation.
i also study a $\textit{team production}$ model. i identify a condition under which the principal's learning problem can be reformulated as solving a family of convex programs, thereby showing the optimal contract can be found efficiently.",2024-03-11
"4","the cram method for efficient simultaneous learning and evaluation","zeyang jia, kosuke imai, michael lingzhi li","machine learning","we introduce the ""cram"" method, a general and efficient approach to simultaneous learning and evaluation using a generic machine learning (ml) algorithm. in a single pass of batched data, the proposed method repeatedly trains an ml algorithm and tests its empirical performance. because it utilizes the entire sample for both learning and evaluation, cramming is significantly more data-efficient than sample-splitting. the cram method also naturally accommodates online learning algorithms, making its implementation computationally efficient. to demonstrate the power of the cram method, we consider the standard policy learning setting where cramming is applied to the same data to both develop an individualized treatment rule (itr) and estimate the average outcome that would result if the learned itr were to be deployed. we show that under a minimal set of assumptions, the resulting crammed evaluation estimator is consistent and asymptotically normal. while our asymptotic results require a relatively weak stabilization condition of ml algorithm, we develop a simple, generic method that can be used with any policy learning algorithm to satisfy this condition. our extensive simulation studies show that, when compared to sample-splitting, cramming reduces the evaluation standard error by more than 40% while improving the performance of learned policy. we also apply the cram method to a randomized clinical trial to demonstrate its applicability to real-world problems. finally, we briefly discuss future extensions of the cram method to other learning and evaluation settings.",2024-03-11
"5","human-exoskeleton interaction portrait","mohammad shushtari, julia foellmer, arash arami","robotics","human-robot physical interaction contains crucial information for optimizing user experience, enhancing robot performance, and objectively assessing user adaptation. this study introduces a new method to evaluate human-robot co-adaptation in lower limb exoskeletons by analyzing muscle activity and interaction torque as a two-dimensional random variable. we introduce the interaction portrait (ip), which visualizes this variable's distribution in polar coordinates. we applied this metric to compare a recent torque controller (htc) based on kinematic state feedback and a novel feedforward controller (amtc) with online learning, proposed herein, against a time-based controller (tbc) during treadmill walking at varying speeds. compared to tbc, both htc and amtc significantly lower users' normalized oxygen uptake, suggesting enhanced user-exoskeleton coordination. ip analysis reveals this improvement stems from two distinct co-adaptation strategies, unidentifiable by traditional muscle activity or interaction torque analyses alone. htc encourages users to yield control to the exoskeleton, decreasing muscular effort but increasing interaction torque, as the exoskeleton compensates for user dynamics. conversely, amtc promotes user engagement through increased muscular effort and reduced interaction torques, aligning it more closely with rehabilitation and gait training applications. ip phase evolution provides insight into each user's interaction strategy development, showcasing ip analysis's potential in comparing and designing novel controllers to optimize human-robot interaction in wearable robots.",2024-03-11
"6","monotone individual fairness","yahav bechavod","machine learning","we revisit the problem of online learning with individual fairness, where an online learner strives to maximize predictive accuracy while ensuring that similar individuals are treated similarly. we first extend the frameworks of gillen et al. (2018); bechavod et al. (2020), which rely on feedback from human auditors regarding fairness violations, as we consider auditing schemes that are capable of aggregating feedback from any number of auditors, using a rich class we term monotone aggregation functions. we then prove a characterization for such auditing schemes, practically reducing the analysis of auditing for individual fairness by multiple auditors to that of auditing by (instance-specific) single auditors. using our generalized framework, we present an oracle-efficient algorithm achieving an upper bound frontier of $(\mathcal{o}(t^{1/2+2b}),\mathcal{o}(t^{3/4-b}))$ respectively for regret, number of fairness violations, for $0\leq b \leq 1/4$. we then study an online classification setting where label feedback is available for positively-predicted individuals only, and present an oracle-efficient algorithm achieving an upper bound frontier of $(\mathcal{o}(t^{2/3+2b}),\mathcal{o}(t^{5/6-b}))$ for regret, number of fairness violations, for $0\leq b \leq 1/6$. in both settings, our algorithms improve on the best known bounds for oracle-efficient algorithms. furthermore, our algorithms offer significant improvements in computational efficiency, greatly reducing the number of required calls to an (offline) optimization oracle per round, to $\tilde{\mathcal{o}}(\alpha^{-2})$ in the full information setting, and $\tilde{\mathcal{o}}(\alpha^{-2} + k^2t^{1/3})$ in the partial information setting, where $\alpha$ is the sensitivity for reporting fairness violations, and $k$ is the number of individuals in a round.",2024-03-11
"7","automatic design optimization of preference-based subjective evaluation with online learning in crowdsourcing environment","yusuke yasuda, tomoki toda","human-computer interaction","a preference-based subjective evaluation is a key method for evaluating generative media reliably. however, its huge combinations of pairs prohibit it from being applied to large-scale evaluation using crowdsourcing. to address this issue, we propose an automatic optimization method for preference-based subjective evaluation in terms of pair combination selections and allocation of evaluation volumes with online learning in a crowdsourcing environment. we use a preference-based online learning method based on a sorting algorithm to identify the total order of evaluation targets with minimum sample volumes. our online learning algorithm supports parallel and asynchronous execution under fixed-budget conditions required for crowdsourcing. our experiment on preference-based subjective evaluation of synthetic speech shows that our method successfully optimizes the test by reducing pair combinations from 351 to 83 and allocating optimal evaluation volumes for each pair ranging from 30 to 663 without compromising evaluation accuracies and wasting budget allocations.",2024-03-10
"8","udcr: unsupervised aortic dsa/cta rigid registration using deep reinforcement learning and overlap degree calculation","wentao liu, bowen liang, weijin xu, tong tian, qingsheng lu, xipeng pan, haoyuan li, siyu tian, huihua yang, ruisheng su","image and video processing","the rigid registration of aortic digital subtraction angiography (dsa) and computed tomography angiography (cta) can provide 3d anatomical details of the vasculature for the interventional surgical treatment of conditions such as aortic dissection and aortic aneurysms, holding significant value for clinical research. however, the current methods for 2d/3d image registration are dependent on manual annotations or synthetic data, as well as the extraction of landmarks, which is not suitable for cross-modal registration of aortic dsa/cta. in this paper, we propose an unsupervised method, udcr, for aortic dsa/cta rigid registration based on deep reinforcement learning. leveraging the imaging principles and characteristics of dsa and cta, we have constructed a cross-dimensional registration environment based on spatial transformations. specifically, we propose an overlap degree calculation reward function that measures the intensity difference between the foreground and background, aimed at assessing the accuracy of registration between segmentation maps and dsa images. this method is highly flexible, allowing for the loading of pre-trained models to perform registration directly or to seek the optimal spatial transformation parameters through online learning. we manually annotated 61 pairs of aortic dsa/cta for algorithm evaluation. the results indicate that the proposed udcr achieved a mean absolute error (mae) of 2.85 mm in translation and 4.35° in rotation, showing significant potential for clinical applications.",2024-03-09
"9","online adaptation of language models with a memory of amortized contexts","jihoon tack, jaehyung kim, eric mitchell, jinwoo shin, yee whye teh, jonathan richard schwarz","machine learning","due to the rapid generation and dissemination of information, large language models (llms) quickly run out of date despite enormous development costs. due to this crucial need to keep models updated, online learning has emerged as a critical necessity when utilizing llms for real-world applications. however, given the ever-expanding corpus of unseen documents and the large parameter space of modern llms, efficient adaptation is essential. to address these challenges, we propose memory of amortized contexts (mac), an efficient and effective online adaptation framework for llms with strong knowledge retention. we propose an amortized feature extraction and memory-augmentation approach to compress and extract information from new documents into compact modulations stored in a memory bank. when answering questions, our model attends to and extracts relevant knowledge from this memory bank. to learn informative modulations in an efficient manner, we utilize amortization-based meta-learning, which substitutes the optimization process with a single forward pass of the encoder. subsequently, we learn to choose from and aggregate selected documents into a single modulation by conditioning on the question, allowing us to adapt a frozen language model during test time without requiring further gradient updates. our experiment demonstrates the superiority of mac in multiple aspects, including online adaptation performance, time, and memory efficiency. code is available at: this https url.",2024-03-07
"10","why online reinforcement learning is causal","oliver schulte, pascal poupart","machine learning","reinforcement learning (rl) and causal modelling naturally complement each other. the goal of causal modelling is to predict the effects of interventions in an environment, while the goal of reinforcement learning is to select interventions that maximize the rewards the agent receives from the environment. reinforcement learning includes the two most powerful sources of information for estimating causal relationships: temporal ordering and the ability to act on an environment. this paper examines which reinforcement learning settings we can expect to benefit from causal modelling, and how. in online learning, the agent has the ability to interact directly with their environment, and learn from exploring it. our main argument is that in online learning, conditional probabilities are causal, and therefore offline rl is the setting where causal learning has the most potential to make a difference. essentially, the reason is that when an agent learns from their {\em own} experience, there are no unobserved confounders that influence both the agent's own exploratory actions and the rewards they receive. our paper formalizes this argument. for offline rl, where an agent may and typically does learn from the experience of {\em others}, we describe previous and new methods for leveraging a causal model, including support for counterfactual queries.",2024-03-07
